title,artist,filename
Make 'Em Say Ugh,Master P,Master P - Make 'Em Say Ugh.mp3
Slob On My Nob,Tear Da Club Up Thugs,Tear Da Club Up Thugs - Slob On My Nob.mp3
Summertime Sadness,Lana Del Rey,Lana Del Rey - Summertime Sadness.mp3
Country Grammar (Hot Shit),Nelly,Nelly - Country Grammar (Hot Shit).mp3
Lean Back,Terror Squad,Terror Squad - Lean Back.mp3
Ride Wit Me,Nelly,Nelly - Ride Wit Me.mp3
Down For My N's,C-Murder,C-Murder - Down For My N's.mp3
HANDS UP,MEOVV,MEOVV - HANDS UP.mp3
Stairway to Heaven (Remaster),Led Zeppelin,Led Zeppelin - Stairway to Heaven (Remaster).mp3
Bohemian Rhapsody (Remastered 2011),Queen,Queen - Bohemian Rhapsody (Remastered 2011).mp3
Hotel California (2013 Remaster),Eagles,Eagles - Hotel California (2013 Remaster).mp3
Smoke On The Water (Remastered 2012),Deep Purple,Deep Purple - Smoke On The Water (Remastered 2012).mp3
Sweet Child O' Mine,Guns N' Roses,Guns N' Roses - Sweet Child O' Mine.mp3
Born to Run,Bruce Springsteen,Bruce Springsteen - Born to Run.mp3
Comfortably Numb,Pink Floyd,Pink Floyd - Comfortably Numb.mp3
Layla,Derek & The Dominos,Derek & The Dominos - Layla.mp3
Free Bird,Lynyrd Skynyrd,Lynyrd Skynyrd - Free Bird.mp3
Sympathy For The Devil,The Rolling Stones,The Rolling Stones - Sympathy For The Devil.mp3
Whole Lotta Love (Remaster),Led Zeppelin,Led Zeppelin - Whole Lotta Love (Remaster).mp3
Purple Haze,Brady Newman,Brady Newman - Purple Haze.mp3
"Paint It, Black",The Rolling Stones,"The Rolling Stones - Paint It, Black.mp3"
JUMP,BLACKPINK,BLACKPINK - JUMP.mp3
Paranoid,Black Sabbath,Black Sabbath - Paranoid.mp3
Light My Fire (New Stereo Mix),The Doors,The Doors - Light My Fire (New Stereo Mix).mp3
Gimme Shelter,The Rolling Stones,The Rolling Stones - Gimme Shelter.mp3
Kashmir (Remaster),Led Zeppelin,Led Zeppelin - Kashmir (Remaster).mp3
"Another Brick In the Wall (Part 2) (Live in Amsterdam, June, 2018)",Roger Waters,"Roger Waters - Another Brick In the Wall (Part 2) (Live in Amsterdam, June, 2018).mp3"
Dream On,Aerosmith,Aerosmith - Dream On.mp3
Rock and Roll (Remaster),Led Zeppelin,Led Zeppelin - Rock and Roll (Remaster).mp3
My Generation,Limp Bizkit,Limp Bizkit - My Generation.mp3
Born To Be Wild,Steppenwolf,Steppenwolf - Born To Be Wild.mp3
Radar Love,Golden Earring,Golden Earring - Radar Love.mp3
Enter Sandman (Remastered 2021),Metallica,Metallica - Enter Sandman (Remastered 2021).mp3
Won't Get Fooled Again (Original Album Version),The Who,The Who - Won't Get Fooled Again (Original Album Version).mp3
White Room,Cream,Cream - White Room.mp3
Cocaine,Eric Clapton,Eric Clapton - Cocaine.mp3
Baba O'Riley,The Who,The Who - Baba O'Riley.mp3
In the End,Linkin Park,Linkin Park - In the End.mp3
Smells Like Teen Spirit,Nirvana,Nirvana - Smells Like Teen Spirit.mp3
The Last Goodbye (feat. Bettye LaVette),Odesza,Odesza - The Last Goodbye (feat. Bettye LaVette).mp3
The Joker,Steve Miller Band,Steve Miller Band - The Joker.mp3
White Wedding (Pt. 1),Billy Idol,Billy Idol - White Wedding (Pt. 1).mp3
Everlong,Foo Fighters,Foo Fighters - Everlong.mp3
Monkey Wrench,Foo Fighters,Foo Fighters - Monkey Wrench.mp3
Plush,Stone Temple Pilots,Stone Temple Pilots - Plush.mp3
My Lulaby,Jeremy Spencer,Jeremy Spencer - My Lulaby.mp3
How You Remind Me,Nickelback,Nickelback - How You Remind Me.mp3
