min_cluster_size,min_samples,cluster_selection_method,cluster_count,clustered_fraction,noise_fraction,silhouette_score
10,7,eom,2,1.0,0.0,0.3769521117210388
15,3,eom,2,1.0,0.0,0.3769521117210388
15,5,eom,2,1.0,0.0,0.3769521117210388
15,7,eom,2,1.0,0.0,0.3769521117210388
15,10,eom,2,1.0,0.0,0.3769521117210388
20,3,eom,2,1.0,0.0,0.3769521117210388
20,4,eom,2,1.0,0.0,0.3769521117210388
20,5,eom,2,1.0,0.0,0.3769521117210388
20,6,eom,2,1.0,0.0,0.3769521117210388
20,7,eom,2,1.0,0.0,0.3769521117210388
20,10,eom,2,1.0,0.0,0.3769521117210388
25,3,eom,2,1.0,0.0,0.3769521117210388
25,5,eom,2,1.0,0.0,0.3769521117210388
25,7,eom,2,1.0,0.0,0.3769521117210388
25,8,eom,2,1.0,0.0,0.3769521117210388
25,10,eom,2,1.0,0.0,0.3769521117210388
30,3,eom,2,1.0,0.0,0.3769521117210388
30,5,eom,2,1.0,0.0,0.3769521117210388
30,6,eom,2,1.0,0.0,0.3769521117210388
30,7,eom,2,1.0,0.0,0.3769521117210388
30,10,eom,2,1.0,0.0,0.3769521117210388
35,3,eom,2,1.0,0.0,0.3769521117210388
35,5,eom,2,1.0,0.0,0.3769521117210388
35,7,eom,2,1.0,0.0,0.3769521117210388
35,10,eom,2,1.0,0.0,0.3769521117210388
40,3,eom,2,1.0,0.0,0.3769521117210388
35,11,eom,2,1.0,0.0,0.3769521117210388
40,5,eom,2,1.0,0.0,0.3769521117210388
40,7,eom,2,1.0,0.0,0.3769521117210388
40,8,eom,2,1.0,0.0,0.3769521117210388
40,10,eom,2,1.0,0.0,0.3769521117210388
40,13,eom,2,1.0,0.0,0.3769521117210388
45,3,eom,2,1.0,0.0,0.3769521117210388
45,5,eom,2,1.0,0.0,0.3769521117210388
45,7,eom,2,1.0,0.0,0.3769521117210388
45,9,eom,2,1.0,0.0,0.3769521117210388
45,10,eom,2,1.0,0.0,0.3769521117210388
81,3,eom,2,1.0,0.0,0.3769521117210388
45,15,eom,2,1.0,0.0,0.3769521117210388
81,5,eom,2,1.0,0.0,0.3769521117210388
81,7,eom,2,1.0,0.0,0.3769521117210388
81,10,eom,2,1.0,0.0,0.3769521117210388
81,16,eom,2,1.0,0.0,0.3769521117210388
81,27,eom,2,1.0,0.0,0.3769521117210388
