min_cluster_size,min_samples,cluster_selection_method,cluster_count,clustered_fraction,noise_fraction,silhouette_score
81,3,eom,14,0.43118702383878105,0.568812976161219,0.39839985966682434
81,3,leaf,14,0.43118702383878105,0.568812976161219,0.39839985966682434
10,5,leaf,104,0.3122388793315311,0.6877611206684688,0.39735472202301025
40,8,eom,15,0.33435733595478007,0.66564266404522,0.39335671067237854
15,5,leaf,73,0.3080609486360285,0.6919390513639715,0.386094868183136
40,5,leaf,28,0.32956500368640945,0.6704349963135905,0.38437896966934204
30,6,eom,28,0.3890390759400344,0.6109609240599656,0.38357013463974
45,5,leaf,26,0.3261243548783485,0.6738756451216514,0.3826499879360199
20,6,eom,34,0.38400098304251656,0.6159990169574834,0.3797513246536255
20,5,leaf,56,0.3220693044974195,0.6779306955025806,0.3741672933101654
40,3,leaf,38,0.38916195625460803,0.610838043745392,0.3557634651660919
40,5,eom,20,0.5278938314082084,0.47210616859179155,0.3545688986778259
45,5,eom,20,0.5278938314082084,0.47210616859179155,0.3545688986778259
45,3,leaf,34,0.40144998771196855,0.5985500122880314,0.35218608379364014
35,3,leaf,44,0.39714917670189237,0.6028508232981076,0.3519258499145508
30,5,eom,24,0.5185549275006144,0.4814450724993856,0.34310978651046753
35,5,eom,22,0.5205210125337921,0.4794789874662079,0.33837994933128357
30,3,leaf,53,0.4187761120668469,0.581223887933153,0.3374892473220825
20,4,leaf,63,0.37552224133693785,0.6244777586630621,0.33709973096847534
25,5,eom,33,0.41963627426886213,0.5803637257311378,0.3189915418624878
25,3,leaf,62,0.4424920127795527,0.5575079872204474,0.31531837582588196
15,3,leaf,94,0.40624231998033916,0.5937576800196609,0.31288954615592957
30,3,eom,48,0.46436470877365443,0.5356352912263456,0.31253963708877563
10,3,leaf,172,0.41091177193413614,0.5890882280658638,0.3123999834060669
20,3,leaf,69,0.43708527893831406,0.5629147210616859,0.30745929479599
10,5,eom,84,0.4061194396657655,0.5938805603342345,0.30569955706596375
15,5,eom,61,0.39395428852297865,0.6060457114770214,0.3038990795612335
20,5,eom,44,0.4188989923814205,0.5811010076185795,0.2995201051235199
35,3,eom,38,0.4770213811747358,0.5229786188252642,0.295872300863266
45,3,eom,28,0.5019660850331776,0.49803391496682237,0.29515817761421204
20,4,eom,55,0.4306955025804866,0.5693044974195134,0.2937825620174408
40,3,eom,31,0.4976652740231015,0.5023347259768984,0.28383371233940125
10,7,eom,64,0.35807323666748586,0.6419267633325141,0.28220701217651367
25,3,eom,59,0.4676824772671418,0.5323175227328583,0.27153491973876953
