filename,status,before_duration_s,after_duration_s,duration_change_s,before_lufs,after_lufs,lufs_change,before_peak_db,after_peak_db,peak_change_db,gain_applied_db,was_cropped,was_removed,error
Boosie Badazz - Baby Momma (Chopped & Screwed).mp3,processed,29.99,29.00,-0.99,-16.9,-17.3,-0.4,-0.57,-0.86,-0.29,-0.4,yes,no,
Boota Pardesi and DJ Sheikh - Dama Dam Mast Kalander.mp3,processed,29.99,29.00,-0.99,-27.5,-20.7,6.8,-7.78,-1.04,6.74,6.8,yes,no,
Boots Randolph - Lonely Street.mp3,processed,29.99,29.00,-0.99,-18.5,-16.8,1.6,-2.56,-1.17,1.39,1.6,yes,no,
Borialis - Can't Break This Man (Edited).mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,0.68,-2.17,-2.84,-3.5,yes,no,
Borialis - Hourglass (Edited).mp3,processed,29.99,29.00,-0.99,-11.6,-15.8,-4.2,0.72,-3.27,-3.99,-4.2,yes,no,
Bottom of the Hudson - Eagle Eye.mp3,processed,29.99,29.00,-0.99,-16.2,-15.9,0.3,-1.71,-1.21,0.50,0.3,yes,no,
Bottom of the Hudson - One of Us.mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-1.19,-1.83,-0.64,-0.8,yes,no,
Bounty Killer - Ask Fi War.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,0.32,-1.89,-2.20,-2.6,yes,no,
Bounty Killer - Cellular Phone.mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.1,1.30,-1.34,-2.64,-3.1,yes,no,
Bounty Killer - Coppershot.mp3,processed,29.99,29.00,-0.99,-16.9,-17.8,-0.9,-0.04,-0.99,-0.95,-0.9,yes,no,
Bounty Killer - Gun Thirsty.mp3,processed,29.99,29.00,-0.99,-17.2,-17.9,-0.7,-0.31,-0.67,-0.36,-0.7,yes,no,
"Bow Wow Wow - C30, C60, C90, Go!.mp3",processed,29.99,29.00,-0.99,-12.5,-15.8,-3.3,-0.01,-3.20,-3.20,-3.3,yes,no,
"Bow Wow Wow - Love, Peace and Harmony.mp3",processed,29.99,29.00,-0.99,-16.7,-16.3,0.5,-1.39,-0.83,0.56,0.5,yes,no,
Bow Wow Wow - Sexy Eiffel Towers.mp3,processed,29.99,29.00,-0.99,-19.0,-17.1,1.9,-3.01,-0.85,2.16,1.9,yes,no,
Boyz II Men - In My Life.mp3,processed,29.99,29.00,-0.99,-13.6,-15.8,-2.2,-0.25,-2.03,-1.78,-2.2,yes,no,
Boyz II Men - Motownphilly.mp3,processed,29.99,29.00,-0.99,-15.7,-16.1,-0.4,-0.51,-0.93,-0.43,-0.4,yes,no,
Boyz II Men - On Bended Knee.mp3,processed,29.99,29.00,-0.99,-15.5,-15.9,-0.4,-0.54,-0.56,-0.02,-0.4,yes,no,
Brainchoke - 1st World Hypocrisy.mp3,processed,29.99,29.00,-0.99,-8.9,-15.7,-6.9,0.66,-5.45,-6.12,-6.9,yes,no,
Brainchoke - Crystal Clear.mp3,processed,29.99,29.00,-0.99,-9.5,-15.8,-6.3,0.44,-4.93,-5.38,-6.3,yes,no,
Brainchoke - Untitled.mp3,processed,29.99,29.00,-0.99,-10.2,-15.8,-5.5,-0.27,-4.14,-3.87,-5.5,yes,no,
Brand X - Collapsar.mp3,processed,29.99,29.00,-0.99,-31.9,-16.9,15.0,-15.93,-1.02,14.91,15.0,yes,no,
Brand X - Hate Zone.mp3,processed,29.99,29.00,-0.99,-25.1,-18.7,6.4,-7.37,-1.38,5.99,6.4,yes,no,
Branford Marsalis - Hear Me Talking to You (Instrumental).mp3,processed,29.99,29.00,-0.99,-20.9,-20.5,0.4,-1.29,-1.08,0.21,0.4,yes,no,
Brasilian Tropical Orchestra - Yesterday.mp3,processed,29.99,29.00,-0.99,-13.6,-15.8,-2.2,0.88,-1.30,-2.18,-2.2,yes,no,
Bravehearts - Sensations (Explicit Album Version).mp3,processed,29.99,29.00,-0.99,-14.6,-16.6,-1.9,0.87,-0.88,-1.76,-1.9,yes,no,
Bravehearts - Situations (feat. Nas & Jully Black) (Explicit Album Version).mp3,processed,29.99,29.00,-0.99,-14.1,-15.8,-1.7,0.53,-0.95,-1.48,-1.7,yes,no,
Brazilian Tropical Orchestra - Baby.mp3,processed,29.99,29.00,-0.99,-20.5,-20.6,-0.1,-0.89,-0.93,-0.03,-0.1,yes,no,
Brazilian Tropical Orchestra - Ho Capito Che Ti Amo.mp3,processed,29.99,29.00,-0.99,-24.3,-19.5,4.8,-5.81,-1.36,4.44,4.8,yes,no,
Brazilian Tropical Orchestra - If You Leave Me Now.mp3,processed,29.99,29.00,-0.99,-22.4,-19.2,3.2,-4.18,-1.01,3.17,3.2,yes,no,
Brazilian Tropical Orchestra - One Less Bell to Answer.mp3,processed,29.99,29.00,-0.99,-16.3,-15.8,0.5,-1.75,-1.51,0.23,0.5,yes,no,
Brazilian Tropical Orchestra - Swan Lake.mp3,processed,29.99,29.00,-0.99,-23.2,-20.7,2.5,-3.53,-1.13,2.40,2.5,yes,no,
Brenda Boykin - Be My Lover.mp3,processed,29.99,29.00,-0.99,-16.6,-17.3,-0.7,-0.23,-0.98,-0.76,-0.7,yes,no,
Brenda Lee - (If I'm Dreaming) Just Let Me Dream.mp3,processed,29.99,29.00,-0.99,-18.3,-17.4,0.8,-1.89,-0.68,1.21,0.8,yes,no,
Brenda Lee - Ballin' the Jack.mp3,processed,29.99,29.00,-0.99,-12.2,-15.8,-3.6,0.44,-2.79,-3.23,-3.6,yes,no,
Brenda Lee - Everybody Loves Me But You.mp3,processed,29.99,29.00,-0.99,-23.0,-17.9,5.2,-6.07,-0.61,5.46,5.2,yes,no,
Brenda Lee - Having A Little Talk With Jesus.mp3,processed,29.99,29.00,-0.99,-16.6,-18.1,-1.5,0.46,-0.40,-0.87,-1.5,yes,no,
Brent Lamb - All The Difference In The World.mp3,processed,29.99,29.00,-0.99,-18.3,-19.2,-0.8,-0.15,-0.86,-0.71,-0.8,yes,no,
Brent Lamb - One About Heaven.mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,-0.35,-1.64,-1.29,-1.4,yes,no,
Brian Auger's Oblivion Express - Voices Of Other Times.mp3,processed,29.99,29.00,-0.99,-15.6,-15.8,-0.2,-1.17,-1.25,-0.08,-0.2,yes,no,
Brian D'Arcy James - At the Fountain (Reprise).mp3,processed,29.99,29.00,-0.99,-15.3,-16.1,-0.8,-0.37,-0.71,-0.34,-0.8,yes,no,
Brian Dullaghan - And I Love You So.mp3,processed,29.99,29.00,-0.99,-18.8,-16.7,2.1,-3.18,-1.02,2.16,2.1,yes,no,
Brian Dullaghan - Can't Help Falling In Love.mp3,processed,29.99,29.00,-0.99,-24.2,-18.5,5.8,-6.71,-0.55,6.16,5.8,yes,no,
Brian Dullaghan - Through The Eyes Of Love.mp3,processed,29.99,29.00,-0.99,-17.6,-15.8,1.8,-3.01,-1.02,1.99,1.8,yes,no,
Brian Eno - Baby's On Fire (Remastered 2004).mp3,processed,29.99,29.00,-0.99,-16.2,-15.8,0.4,-1.59,-0.90,0.69,0.4,yes,no,
Brian Eno - The Jezebel Spirit (2006 Digital Remaster).mp3,processed,29.99,29.00,-0.99,-15.7,-17.0,-1.3,0.19,-0.86,-1.06,-1.3,yes,no,
Brian Free & Assurance - The Coming Of The King.mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,0.24,-2.90,-3.14,-3.5,yes,no,
Brian Free - Emmaus.mp3,processed,29.99,29.00,-0.99,-16.7,-16.5,0.2,-1.20,-0.87,0.33,0.2,yes,no,
Brian Keane - Dark Flashes.mp3,processed,29.99,29.00,-0.99,-19.1,-16.2,3.0,-3.94,-1.08,2.85,3.0,yes,no,
Brian Keane - Time Is _ Time Was.mp3,processed,29.99,29.00,-0.99,-19.1,-15.8,3.3,-5.34,-1.99,3.35,3.3,yes,no,
Brian Littrell - Wish.mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,-0.52,-1.90,-1.37,-1.4,yes,no,
Brian Tyler - Festival Of Holi.mp3,processed,29.99,29.00,-0.99,-18.3,-18.3,0.0,-0.98,-1.42,-0.44,0.0,yes,no,
Brian Tyler - I Dream Of Chi Chi.mp3,processed,30.01,29.00,-1.01,-20.3,-17.6,2.7,-3.71,-0.98,2.73,2.7,yes,no,
Brice Kapel - Aloha (Album Version).mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.1,0.36,-2.59,-2.94,-3.1,yes,no,
Brice Kapel - Lo (Album Version).mp3,processed,29.99,29.00,-0.99,-10.2,-15.8,-5.6,0.59,-4.59,-5.17,-5.6,yes,no,
Brigada Victor Jara - Parto em Terras Distantes.mp3,processed,29.99,29.00,-0.99,-21.6,-16.3,5.3,-6.28,-1.01,5.27,5.3,yes,no,
Britney Spears - 3.mp3,processed,29.99,29.00,-0.99,-9.9,-15.8,-5.9,2.53,-2.16,-4.69,-5.9,yes,no,
Britney Spears - Boys (feat. Pharrell Williams) (Co-Ed Remix).mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.8,0.85,-1.06,-1.92,-1.8,yes,no,
Britney Spears - Break the Ice.mp3,processed,29.99,29.00,-0.99,-11.7,-15.8,-4.0,1.68,-2.13,-3.81,-4.0,yes,no,
Britney Spears - Can't Make You Love Me.mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,2.07,-1.63,-3.70,-3.5,yes,no,
Britney Spears - Don't Go Knockin' on My Door.mp3,processed,29.99,29.00,-0.99,-13.1,-15.8,-2.7,1.38,-1.02,-2.40,-2.7,yes,no,
Britney Spears - Everytime.mp3,processed,29.99,29.00,-0.99,-16.9,-16.1,0.8,-1.81,-0.97,0.84,0.8,yes,no,
Britney Spears - My Only Wish (This Year).mp3,processed,29.99,29.00,-0.99,-10.8,-15.8,-5.0,1.21,-3.57,-4.78,-5.0,yes,no,
Britney Spears - My Prerogative.mp3,processed,29.99,29.00,-0.99,-11.5,-15.8,-4.2,2.02,-2.28,-4.30,-4.2,yes,no,
Britney Spears - Oops!...I Did It Again.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,-0.15,-2.13,-1.98,-2.6,yes,no,
Britney Spears - Someday (I Will Understand).mp3,processed,29.99,29.00,-0.99,-14.2,-15.8,-1.6,0.10,-1.35,-1.45,-1.6,yes,no,
Britt Nicole - Don't Worry Now (Performance Track In Key Of Db Without Background Vocals; Low Instrumental).mp3,processed,29.99,29.00,-0.99,-21.1,-18.2,2.9,-3.89,-1.01,2.88,2.9,yes,no,
Britt Nicole - Good Day.mp3,processed,29.99,29.00,-0.99,-10.6,-15.8,-5.2,0.59,-4.17,-4.76,-5.2,yes,no,
Britt Nicole - Hanging On (Medium Key Performance Track Without Background Vocals).mp3,processed,29.99,29.00,-0.99,-13.9,-16.3,-2.4,1.47,-0.57,-2.04,-2.4,yes,no,
Britt Nicole - Set The World On Fire.mp3,processed,29.99,29.00,-0.99,-12.4,-15.8,-3.4,0.34,-2.78,-3.12,-3.4,yes,no,
Broadcast - Downstream.mp3,processed,29.99,29.00,-0.99,-34.9,-18.9,16.0,-16.98,-0.72,16.26,16.0,yes,no,
Broadcast - Guardian Angel.mp3,processed,29.99,29.00,-0.99,-14.5,-15.8,-1.2,0.01,-1.19,-1.20,-1.2,yes,no,
Broadcast - Michael A Grammar.mp3,processed,29.99,29.00,-0.99,-14.3,-15.8,-1.5,-0.33,-1.81,-1.48,-1.5,yes,no,
Broadcast - One Hour Empire.mp3,processed,29.99,29.00,-0.99,-14.5,-15.8,-1.2,-2.62,-3.51,-0.89,-1.2,yes,no,
Broadcast - Where Youth and Laughter Go.mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,-0.52,-3.66,-3.14,-3.5,yes,no,
Brokencyde - Freaxxx.mp3,processed,29.99,29.00,-0.99,-18.1,-15.8,2.3,-5.71,-3.14,2.56,2.3,yes,no,
Brokencyde - Schitzo.mp3,processed,29.99,29.00,-0.99,-10.3,-15.8,-5.4,2.07,-3.51,-5.57,-5.4,yes,no,
Brooke Valentine - American Girl.mp3,processed,29.99,29.00,-0.99,-15.6,-17.5,-1.9,0.96,-0.87,-1.83,-1.9,yes,no,
Brooke White - Hold Up My Heart.mp3,processed,29.99,29.00,-0.99,-15.4,-15.8,-0.4,-0.67,-0.36,0.31,-0.4,yes,no,
Brownie McGhee - I Woke up One Morning and I Could Hardly See.mp3,processed,29.99,29.00,-0.99,-17.7,-17.1,0.7,-1.64,-0.97,0.67,0.7,yes,no,
Brownie McGhee _ Sonny Terry - Tell Me Baby.mp3,processed,29.99,29.00,-0.99,-16.4,-15.9,0.5,-1.44,-0.81,0.62,0.5,yes,no,
Bruce BecVar - Razamataz.mp3,processed,29.99,29.00,-0.99,-21.3,-19.6,1.7,-2.62,-1.14,1.48,1.7,yes,no,
Bruce BecVar - Your Heart Can Sing.mp3,processed,29.99,29.00,-0.99,-18.8,-18.1,0.7,-1.71,-0.99,0.72,0.7,yes,no,
Bruce Carroll - The Room.mp3,processed,29.99,29.00,-0.99,-19.7,-19.2,0.5,-1.50,-0.87,0.63,0.5,yes,no,
Bruce Katz Band - Just an Expression.mp3,processed,29.99,29.00,-0.99,-26.8,-24.0,2.7,-3.65,-0.75,2.89,2.7,yes,no,
Bruce Robison - Trouble.mp3,processed,29.99,29.00,-0.99,-18.8,-18.1,0.7,-1.70,-0.71,1.00,0.7,yes,no,
Bruce Rowland - Mountain Theme.mp3,processed,29.99,29.00,-0.99,-20.4,-18.7,1.7,-2.62,-0.85,1.77,1.7,yes,no,
Bruce Rowland - Rosemary Recalls.mp3,processed,29.99,29.00,-0.99,-28.5,-17.7,10.8,-11.70,-0.90,10.80,10.8,yes,no,
Bruce Springsteen - Rosalita (Come Out Tonight).mp3,processed,29.99,29.00,-0.99,-15.5,-15.9,-0.4,-0.48,-0.76,-0.28,-0.4,yes,no,
Bruce Springsteen - Working on the Highway.mp3,processed,29.99,29.00,-0.99,-13.6,-15.8,-2.2,0.21,-1.86,-2.07,-2.2,yes,no,
Bruford - Forever Until Sunday.mp3,processed,29.99,29.00,-0.99,-26.6,-15.8,10.8,-12.29,-1.48,10.81,10.8,yes,no,
Bruisers - 2 Fists Full Of Nothing.mp3,processed,29.99,29.00,-0.99,-16.9,-16.9,0.0,-1.02,-1.26,-0.24,0.0,yes,no,
Bruisers - Police Opression.mp3,processed,29.99,29.00,-0.99,-13.4,-15.8,-2.4,-0.42,-2.64,-2.22,-2.4,yes,no,
Bryan Ferry - Goin' Down.mp3,processed,30.01,29.00,-1.01,-15.4,-16.1,-0.7,-0.39,-0.49,-0.10,-0.7,yes,no,
Bryan Ferry - Ja Nun Hons Pris.mp3,processed,29.99,29.00,-0.99,-22.1,-16.0,6.1,-6.98,-0.89,6.08,6.1,yes,no,
Bröderna Djup - Ovanlär.mp3,processed,29.99,29.00,-0.99,-17.3,-17.2,0.1,-1.14,-0.54,0.60,0.1,yes,no,
Bröderna Djup - Råskevärsrock.mp3,processed,29.99,29.00,-0.99,-18.6,-19.2,-0.5,-0.47,-1.01,-0.54,-0.5,yes,no,
Buckwheat Zydeco - Hot Tamale Baby.mp3,processed,29.99,29.00,-0.99,-19.3,-17.8,1.5,-2.47,-1.14,1.33,1.5,yes,no,
Buddy Jewell - Sweet Southern Comfort.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.7,0.29,-1.48,-1.76,-1.7,yes,no,
Buddy Johnson - Because - Part 1.mp3,processed,29.99,29.00,-0.99,-15.5,-15.8,-0.3,-1.17,-0.72,0.46,-0.3,yes,no,
Buddy Johnson - Did You See Jackie Robinson Hit That Ball.mp3,processed,29.99,29.00,-0.99,-12.5,-15.8,-3.3,-0.43,-3.25,-2.82,-3.3,yes,no,
Buddy Miles - Don't Keep Me Wondering.mp3,processed,29.99,29.00,-0.99,-16.5,-15.8,0.7,-2.88,-2.47,0.42,0.7,yes,no,
Buddy Miles - Midnight Rider.mp3,processed,29.99,29.00,-0.99,-16.0,-15.8,0.2,-1.36,-1.05,0.31,0.2,yes,no,
Buddy Miles - Santa Claus Is Coming To Town.mp3,processed,29.99,29.00,-0.99,-14.6,-16.3,-1.6,0.69,-1.23,-1.91,-1.6,yes,no,
Buffalo Nickel Band - Palm Springs Jump.mp3,processed,29.99,29.00,-0.99,-23.8,-20.5,3.3,-4.42,-1.06,3.36,3.3,yes,no,
Buju Banton - Destiny.mp3,processed,29.99,29.00,-0.99,-16.6,-17.8,-1.2,0.22,-1.23,-1.45,-1.2,yes,no,
Buju Banton - Excerpt Of A Speech By Marcus Mosiah Garvey.mp3,processed,29.99,29.00,-0.99,-16.5,-16.0,0.5,-1.49,-1.01,0.49,0.5,yes,no,
Buju Banton - Searching.mp3,processed,29.99,29.00,-0.99,-19.2,-19.1,0.1,-1.05,-0.86,0.18,0.1,yes,no,
Bukka White - Aberdeen mississippi blues.mp3,processed,29.99,29.00,-0.99,-18.0,-17.2,0.8,-1.74,-1.07,0.67,0.8,yes,no,
Bukka White - Fixin' to die blues.mp3,processed,29.99,29.00,-0.99,-18.6,-17.6,1.0,-2.11,-0.96,1.16,1.0,yes,no,
Bukka White - My Baby.mp3,processed,29.99,29.00,-0.99,-22.1,-18.1,4.0,-4.95,-1.12,3.83,4.0,yes,no,
Bukka White - Single Man Blues.mp3,processed,29.99,29.00,-0.99,-22.9,-18.3,4.6,-5.56,-1.47,4.09,4.6,yes,no,
Bukka White - Sleepy man blues.mp3,processed,29.99,29.00,-0.99,-19.8,-17.0,2.9,-3.79,-1.12,2.67,2.9,yes,no,
Bukue One - Ready Now.mp3,processed,29.99,29.00,-0.99,-16.9,-16.1,0.8,-1.80,-0.84,0.95,0.8,yes,no,
Bukue One - Up Close and Personal.mp3,processed,29.99,29.00,-0.99,-16.9,-17.4,-0.4,-0.32,-0.96,-0.64,-0.4,yes,no,
Bullet For My Valentine - 4 Words (To Choke Upon).mp3,processed,29.99,29.00,-0.99,-9.8,-15.7,-5.9,0.78,-4.48,-5.25,-5.9,yes,no,
Bullet For My Valentine - Suffocating Under Words Of Sorrow (What Can I Do).mp3,processed,29.99,29.00,-0.99,-9.8,-15.8,-6.0,1.18,-4.27,-5.46,-6.0,yes,no,
Bullethole - Now I Know (NORMAL).mp3,processed,29.99,29.00,-0.99,-11.5,-15.8,-4.3,0.13,-3.52,-3.65,-4.3,yes,no,
Bumblefoot - Abnormal (Acoustic).mp3,processed,29.99,29.00,-0.99,-16.3,-16.8,-0.6,-0.32,-1.09,-0.77,-0.6,yes,no,
Bumblefoot - Piranha.mp3,processed,29.99,29.00,-0.99,-11.1,-15.8,-4.7,0.16,-3.51,-3.67,-4.7,yes,no,
Burgos - See Me Again.mp3,processed,29.99,29.00,-0.99,-16.4,-17.1,-0.7,-0.26,-0.38,-0.12,-0.7,yes,no,
Burl Ives - A Holly Jolly Christmas.mp3,processed,29.99,29.00,-0.99,-21.3,-20.0,1.3,-2.20,-0.59,1.61,1.3,yes,no,
Burning Spear - Civilized Reggae.mp3,processed,29.99,29.00,-0.99,-18.5,-17.0,1.6,-2.61,-0.86,1.75,1.6,yes,no,
Burning Spear - It's A Long Way Around.mp3,processed,29.99,29.00,-0.99,-25.6,-21.1,4.5,-5.45,-1.09,4.36,4.5,yes,no,
Burning Spear - The Invasion (Aka Black Wa Da Da).mp3,processed,29.99,29.00,-0.99,-20.7,-19.1,1.5,-2.60,-0.93,1.67,1.5,yes,no,
Burning Spear - Tumble Down.mp3,processed,29.99,29.00,-0.99,-22.5,-19.2,3.3,-4.31,-0.64,3.67,3.3,yes,no,
Burt Bacharach - Are You There (With Another Girl).mp3,processed,29.99,29.00,-0.99,-24.9,-20.0,4.9,-5.89,-1.70,4.19,4.9,yes,no,
Burt Bacharach - I Still Remember.mp3,processed,29.99,29.00,-0.99,-15.2,-15.9,-0.7,-0.21,-0.62,-0.41,-0.7,yes,no,
Burt Bacharach - Love Theme (The Falling In Love) (Isn’t She Great_Soundtrack Version).mp3,processed,29.99,29.00,-0.99,-18.8,-16.1,2.7,-3.53,-1.02,2.52,2.7,yes,no,
Bury Your Dead - Closed Eyes.mp3,processed,29.99,29.00,-0.99,-12.9,-15.8,-2.9,-0.41,-2.99,-2.58,-2.9,yes,no,
Busdriver - (Bloody Paw on the) Kill Floor.mp3,processed,29.99,29.00,-0.99,-10.7,-15.8,-5.1,0.86,-3.82,-4.69,-5.1,yes,no,
Busdriver - Beauty Supply And Demand.mp3,processed,29.99,29.00,-0.99,-14.8,-15.8,-1.0,-0.28,-0.96,-0.68,-1.0,yes,no,
Busdriver - Ellen Disingenuous.mp3,processed,29.99,29.00,-0.99,-11.7,-15.8,-4.1,1.41,-2.55,-3.97,-4.1,yes,no,
Busdriver - Map Your Psyche.mp3,processed,29.99,29.00,-0.99,-18.4,-18.0,0.3,-1.24,-0.79,0.46,0.3,yes,no,
Busdriver - Sun Shower (Single Version).mp3,processed,29.99,29.00,-0.99,-13.5,-15.8,-2.3,-0.18,-2.44,-2.26,-2.3,yes,no,
Busdriver - Unemployed Black Astronaut.mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-1.31,-1.68,-0.37,-0.8,yes,no,
Busdriver - Unsafe Sextet_Gilded Hearts of Booklovers.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-3.9,0.19,-3.15,-3.34,-3.9,yes,no,
Busta Rhymes - Genesis.mp3,processed,29.99,29.00,-0.99,-15.9,-16.9,-1.0,0.10,-0.51,-0.61,-1.0,yes,no,
Busta Rhymes - Taste It.mp3,processed,29.99,29.00,-0.99,-13.9,-16.0,-2.1,1.14,-0.64,-1.78,-2.1,yes,no,
Busta Rhymes - We Got What You Want.mp3,processed,29.99,29.00,-0.99,-12.1,-15.8,-3.6,2.46,-1.09,-3.55,-3.6,yes,no,
Busta Rhymes - We Made It (feat. Linkin Park) (Instrumental).mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,0.17,-1.10,-1.27,-1.4,yes,no,
Butthole Surfers - 22 Going On 23 (2024 Remaster).mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.7,-0.62,-2.20,-1.58,-1.7,yes,no,
Butthole Surfers - All Day.mp3,processed,29.99,29.00,-0.99,-10.4,-15.7,-5.3,1.04,-3.61,-4.65,-5.3,yes,no,
Butthole Surfers - Tongue.mp3,processed,29.99,29.00,-0.99,-17.7,-18.6,-0.9,-0.10,-0.75,-0.65,-0.9,yes,no,
Butthole Surfers - Ulcer Breakout.mp3,processed,29.99,29.00,-0.99,-10.4,-15.8,-5.3,0.87,-3.97,-4.84,-5.3,yes,no,
Butthole Surfers - Wichita Cathedral (Live).mp3,processed,29.99,29.00,-0.99,-11.6,-15.8,-4.1,-0.11,-4.04,-3.93,-4.1,yes,no,
Buzzcocks - Get On Our Own.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.8,-0.41,-1.88,-1.47,-1.8,yes,no,
Buzzcocks - No Reply (Demo).mp3,processed,29.99,29.00,-0.99,-14.2,-15.8,-1.6,-0.64,-2.21,-1.57,-1.6,yes,no,
Buzzcocks - Strange Thing (2001 Remastered Version).mp3,processed,29.99,29.00,-0.99,-12.3,-15.7,-3.4,-0.58,-3.19,-2.61,-3.4,yes,no,
Buzzov_en - I Don't Like You.mp3,processed,29.99,29.00,-0.99,-15.6,-16.5,-1.0,-0.01,-1.18,-1.17,-1.0,yes,no,
Byron Cage - In The Midst (feat. Tye Tribbett).mp3,processed,29.99,29.00,-0.99,-13.6,-15.8,-2.2,0.93,-1.00,-1.93,-2.2,yes,no,
Byther Smith - I Wish My Mother Was Here.mp3,processed,29.99,29.00,-0.99,-19.8,-16.8,2.9,-4.01,-0.80,3.21,2.9,yes,no,
Byther Smith - So Unhappy.mp3,processed,29.99,29.00,-0.99,-18.6,-19.3,-0.6,-0.60,-0.94,-0.34,-0.6,yes,no,
Byzantine - Absolute Horizon.mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.8,0.61,-3.06,-3.68,-3.8,yes,no,
Béla Fleck - Punchdrunk.mp3,processed,29.99,29.00,-0.99,-18.1,-16.7,1.3,-2.29,-0.93,1.37,1.3,yes,no,
Bénabar - Christelle est une ordure.mp3,processed,29.99,29.00,-0.99,-20.1,-17.5,2.7,-3.67,-0.85,2.82,2.7,yes,no,
Bénabar - La pierrade.mp3,processed,29.99,29.00,-0.99,-18.3,-19.3,-1.0,-0.22,-0.84,-0.63,-1.0,yes,no,
Bénabar - Le zoo de Vincennes.mp3,processed,29.99,29.00,-0.99,-16.8,-17.3,-0.4,-0.52,-1.07,-0.55,-0.4,yes,no,
Bénabar - Porcelaine.mp3,processed,29.99,29.00,-0.99,-13.0,-15.8,-2.8,-0.41,-3.13,-2.73,-2.8,yes,no,
Bénabar - Tu peux compter sur moi.mp3,processed,29.99,29.00,-0.99,-14.6,-16.2,-1.5,0.54,-0.40,-0.94,-1.5,yes,no,
Bézu - Frou-frou.mp3,processed,29.99,29.00,-0.99,-15.6,-15.9,-0.3,-0.65,-0.93,-0.29,-0.3,yes,no,
Bézu - La bite du plombier.mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.2,0.91,-2.01,-2.92,-3.2,yes,no,
Bézu - La java bleue.mp3,processed,29.99,29.00,-0.99,-14.8,-15.8,-1.0,-0.63,-1.38,-0.75,-1.0,yes,no,
Bézu - Le Tortillard.mp3,processed,29.99,29.00,-0.99,-11.0,-15.8,-4.8,1.71,-3.02,-4.73,-4.8,yes,no,
Bézu - Le cha cha des gorilles.mp3,processed,29.99,29.00,-0.99,-12.9,-15.8,-2.9,-0.68,-3.17,-2.49,-2.9,yes,no,
Bézu - Le clair de lune à Maubeuge.mp3,processed,29.99,29.00,-0.99,-16.0,-17.0,-1.0,0.13,-0.97,-1.10,-1.0,yes,no,
Bézu - Viens boire un petit coup à la maison.mp3,processed,29.99,29.00,-0.99,-12.0,-15.8,-3.8,0.85,-2.66,-3.52,-3.8,yes,no,
Bülent - Eskişehir Çiftetellisi.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.8,-0.34,-2.00,-1.66,-1.8,yes,no,
"Bülent Ceylan - Harald_ Trinkhalleluja, Teil 3.mp3",processed,29.99,29.00,-0.99,-19.3,-19.7,-0.4,-0.61,-1.21,-0.60,-0.4,yes,no,
C-Side & Petit Mal - Mudhump.mp3,processed,29.99,29.00,-0.99,-15.5,-15.9,-0.4,-0.66,-0.93,-0.27,-0.4,yes,no,
C.C. Adcock - Loaded Gun.mp3,processed,29.99,29.00,-0.99,-14.6,-15.8,-1.2,0.03,-0.79,-0.81,-1.2,yes,no,
C.C. Adcock - Love n' Gold.mp3,processed,29.99,29.00,-0.99,-14.9,-15.8,-0.9,-0.13,-0.25,-0.12,-0.9,yes,no,
C.J. Chenier - Banana Man.mp3,processed,29.99,29.00,-0.99,-16.0,-15.8,0.2,-1.25,-1.13,0.12,0.2,yes,no,
C.L. Smooth - Smoke In The Air (A Cappella).mp3,processed,29.99,29.00,-0.99,-20.6,-20.7,-0.1,-0.91,-1.93,-1.02,-0.1,yes,no,
CALi - C'est toujours le matin.mp3,processed,29.99,29.00,-0.99,-15.2,-15.8,-0.6,-0.59,-0.95,-0.36,-0.6,yes,no,
CALi - Dolorosa (Live).mp3,processed,29.99,29.00,-0.99,-12.2,-15.8,-3.6,0.57,-1.96,-2.54,-3.6,yes,no,
CALi - Il y a une question (Live).mp3,processed,29.99,29.00,-0.99,-12.4,-15.8,-3.4,0.14,-2.89,-3.03,-3.4,yes,no,
CALi - Le Droit des pères (Live électrique).mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-0.26,-1.01,-0.75,-0.8,yes,no,
