filename,status,before_duration_s,after_duration_s,duration_change_s,before_lufs,after_lufs,lufs_change,before_peak_db,after_peak_db,peak_change_db,gain_applied_db,was_cropped,was_removed,error
4Him - You Are Holy.mp3,processed,29.99,29.00,-0.99,-17.3,-17.5,-0.1,-0.82,-0.79,0.03,-0.1,yes,no,
50 Cent - Outta Control (Remix).mp3,processed,29.99,29.00,-0.99,-15.6,-16.0,-0.4,-0.69,-0.92,-0.24,-0.4,yes,no,
50 Cent - U Not Like Me.mp3,processed,29.99,29.00,-0.99,-11.0,-15.8,-4.8,1.26,-2.19,-3.45,-4.8,yes,no,
5th Ward Boyz - Studio Gangster.mp3,processed,29.99,29.00,-0.99,-12.5,-15.8,-3.3,0.16,-2.41,-2.57,-3.3,yes,no,
5th Ward Boyz - Undercover Gangstas (Screwed).mp3,processed,29.99,29.00,-0.99,-13.3,-15.8,-2.5,0.25,-1.75,-2.00,-2.5,yes,no,
6CycleMind - Across the Universe.mp3,processed,29.99,29.00,-0.99,-17.8,-18.1,-0.3,0.42,-0.63,-1.05,-0.3,yes,no,
6CycleMind - Talkin' Bout A Revolution.mp3,processed,29.99,29.00,-0.99,-14.7,-15.8,-1.1,-0.17,-1.34,-1.18,-1.1,yes,no,
8Ball - I Don't Give A F___.mp3,processed,29.99,29.00,-0.99,-13.5,-16.3,-2.8,1.81,-0.92,-2.73,-2.8,yes,no,
99 Posse - Rafaniello (Versione Strumentale).mp3,processed,29.99,29.00,-0.99,-17.6,-18.7,-1.1,0.08,-0.99,-1.07,-1.1,yes,no,
99 Posse - Rafaniello.mp3,processed,29.99,29.00,-0.99,-16.8,-17.8,-1.0,0.01,-0.92,-0.93,-1.0,yes,no,
9th Wonder - Saved.mp3,processed,29.99,29.00,-0.99,-12.6,-15.8,-3.2,0.97,-1.84,-2.81,-3.2,yes,no,
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version).mp3,processed,29.99,29.00,-0.99,-10.9,-15.8,-4.9,0.79,-3.91,-4.71,-4.9,yes,no,
A Challenge Of Honour - Heiliges Feuer.mp3,processed,29.99,29.00,-0.99,-14.9,-15.8,-0.9,-0.72,-1.50,-0.78,-0.9,yes,no,
A Different Breed of Killer - The Cleansing Apparatus.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,0.30,-2.38,-2.68,-4.0,yes,no,
A Skylit Drive - Ability To Create A War.mp3,processed,29.99,29.00,-0.99,-13.1,-15.8,-2.7,0.38,-1.70,-2.08,-2.7,yes,no,
A Static Lullaby - God Bless You (Goddamn it) (Album Version).mp3,processed,29.99,29.00,-0.99,-10.6,-15.8,-5.2,0.37,-4.52,-4.89,-5.2,yes,no,
A Static Lullaby - Toxic.mp3,processed,29.99,29.00,-0.99,-13.9,-15.8,-1.9,0.71,-1.20,-1.91,-1.9,yes,no,
A Tribe Called Quest - Get A Hold.mp3,processed,29.99,29.00,-0.99,-14.3,-15.8,-1.5,-0.02,-1.08,-1.06,-1.5,yes,no,
A Tribe Called Quest - Like It Like That.mp3,processed,29.99,29.00,-0.99,-15.1,-16.5,-1.4,0.45,0.57,0.12,-1.4,yes,no,
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix).mp3",processed,29.99,29.00,-0.99,-18.7,-16.2,2.5,-3.24,-1.22,2.02,2.5,yes,no,
A Tundra - The Doug McComb Over.mp3,processed,29.99,29.00,-0.99,-18.4,-17.3,1.1,-2.16,-0.85,1.32,1.1,yes,no,
A.R. Rahman - Rang De Basanti.mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,0.07,-1.24,-1.31,-1.4,yes,no,
AFI - Affliction.mp3,processed,29.99,29.00,-0.99,-10.3,-15.8,-5.5,0.39,-4.45,-4.84,-5.5,yes,no,
"AFI - Darling, I Want To Destroy You.mp3",processed,29.99,29.00,-0.99,-11.6,-15.8,-4.2,0.81,-3.07,-3.88,-4.2,yes,no,
AFI - Summer Shudder.mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.9,0.61,-2.90,-3.52,-3.9,yes,no,
AFI - Too Shy To Scream.mp3,processed,29.99,29.00,-0.99,-11.3,-15.8,-4.4,0.56,-3.17,-3.73,-4.4,yes,no,
ANAT BEN-DAVID - Moon Boom.mp3,processed,29.99,29.00,-0.99,-13.8,-15.8,-2.0,-0.47,-2.61,-2.14,-2.0,yes,no,
ANAT BEN-DAVID - Robot Kid.mp3,processed,29.99,29.00,-0.99,-10.8,-15.8,-5.0,0.55,-3.85,-4.41,-5.0,yes,no,
ANTIGONE RISING - Don't Look Back (Radio Edit).mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.9,0.78,-2.60,-3.38,-3.9,yes,no,
ATB - Collides with Beauty.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,-0.24,-3.96,-3.71,-4.0,yes,no,
ATB - Marrakech.mp3,processed,29.99,29.00,-0.99,-12.0,-15.8,-3.8,0.16,-2.55,-2.71,-3.8,yes,no,
ATMAN - All Is One.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.7,0.15,-1.66,-1.81,-1.7,yes,no,
ATMAN - Dancing with the Goddess (ttt Rmx).mp3,processed,29.99,29.00,-0.99,-17.5,-18.3,-0.8,-0.26,-1.11,-0.84,-0.8,yes,no,
ATMAN - Distant Voices.mp3,processed,29.99,29.00,-0.99,-23.9,-19.4,4.5,-4.22,-1.19,3.03,4.5,yes,no,
ATMAN - Govinda.mp3,processed,29.99,29.00,-0.99,-16.6,-17.2,-0.6,-0.36,-1.15,-0.79,-0.6,yes,no,
ATMAN - Luminous Bliss.mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-0.90,-1.77,-0.88,-0.8,yes,no,
AUDIO.3 - SPONT.AN.mp3,processed,29.99,29.00,-0.99,-15.4,-17.3,-1.9,0.78,-1.08,-1.85,-1.9,yes,no,
AZ - Aziatic (Outro) (Album Version).mp3,processed,29.99,29.00,-0.99,-13.7,-15.8,-2.1,0.60,-1.04,-1.65,-2.1,yes,no,
AZ - Pleas Made Against Stasis.mp3,processed,29.99,29.00,-0.99,-14.9,-15.8,-0.9,-0.58,-1.51,-0.93,-0.9,yes,no,
Aaron Neville - For The Good Times.mp3,processed,29.99,29.00,-0.99,-20.5,-21.3,-0.8,-0.14,-0.83,-0.69,-0.8,yes,no,
Aaron Watson - Rollercoaster Ride (Live).mp3,processed,29.99,29.00,-0.99,-16.9,-17.5,-0.6,-0.34,-0.97,-0.63,-0.6,yes,no,
Aaron Watson - Sweet Contradiction.mp3,processed,29.99,29.00,-0.99,-15.7,-16.5,-0.9,-0.13,-0.92,-0.79,-0.9,yes,no,
Aaron Watson - That's What I Like About A Country Song (That's What I Like About A Country Song).mp3,processed,29.99,29.00,-0.99,-15.9,-16.7,-0.9,-0.08,-0.83,-0.75,-0.9,yes,no,
Aaron Watson - Whiskey On The Fire.mp3,processed,29.99,29.00,-0.99,-14.1,-15.8,-1.7,-0.09,-1.40,-1.31,-1.7,yes,no,
Abbott & Chambers - Never After.mp3,processed,29.99,29.00,-0.99,-16.0,-16.2,-0.2,-0.80,-0.04,0.76,-0.2,yes,no,
Aberdeen - Beyond the Light.mp3,processed,29.99,29.00,-0.99,-20.0,-17.7,2.3,-2.70,-0.68,2.02,2.3,yes,no,
Abijah - Children Of Love.mp3,processed,29.99,29.00,-0.99,-19.1,-19.0,0.1,-0.87,-0.87,0.00,0.1,yes,no,
Abijah - The Rock.mp3,processed,29.99,29.00,-0.99,-15.7,-16.2,-0.5,-0.43,-0.73,-0.30,-0.5,yes,no,
Abominable Iron Sloth - Sailing To The Edge Of The Earth.mp3,processed,29.99,29.00,-0.99,-15.3,-15.8,-0.5,-3.51,-3.92,-0.42,-0.5,yes,no,
Abracadabra - Bésame otra vez.mp3,processed,29.99,29.00,-0.99,-16.1,-16.1,-0.0,-0.96,-0.77,0.19,-0.0,yes,no,
Abracadabra - Te estoy saboreando.mp3,processed,29.99,29.00,-0.99,-16.9,-17.5,-0.5,-0.40,-0.85,-0.45,-0.5,yes,no,
Abraham Laboriel - Exchange.mp3,processed,30.01,29.00,-1.01,-16.6,-16.4,0.3,-1.24,-0.09,1.14,0.3,yes,no,
Abraham Laboriel - Wassup.mp3,processed,30.01,29.00,-1.01,-16.6,-16.5,0.0,-0.66,-0.73,-0.07,0.0,yes,no,
Abrar Ul Haq - Hello Hello.mp3,processed,29.99,29.00,-0.99,-22.4,-19.7,2.7,-3.58,-1.06,2.51,2.7,yes,no,
Abreu - Shame.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.8,-0.25,-2.50,-2.25,-1.8,yes,no,
Abysmal Dawn - Compulsory Resurrection.mp3,processed,29.99,29.00,-0.99,-12.8,-15.8,-2.9,0.73,-2.19,-2.92,-2.9,yes,no,
Abysmal Dawn - Programmed to Consume.mp3,processed,29.99,29.00,-0.99,-12.9,-15.7,-2.8,0.93,-2.17,-3.10,-2.8,yes,no,
Ace Frehley - Fractured Quantum.mp3,processed,29.99,29.00,-0.99,-23.5,-17.9,5.6,-6.65,-1.82,4.82,5.6,yes,no,
Aceyalone - Suicide.mp3,processed,29.99,29.00,-0.99,-10.2,-15.8,-5.5,1.11,-3.89,-5.00,-5.5,yes,no,
Acorps de rue - Chanson Réaliste.mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,-0.01,-1.26,-1.26,-1.4,yes,no,
Ada Jane - The Queen's Treatment.mp3,processed,29.99,29.00,-0.99,-20.5,-19.9,0.6,-1.57,-1.10,0.48,0.6,yes,no,
Adalberto Santiago - Tu Me Desesperas.mp3,processed,29.99,29.00,-0.99,-12.2,-15.8,-3.6,-0.12,-3.45,-3.33,-3.6,yes,no,
Adam Ant - Friend Or Foe.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,0.11,-3.44,-3.55,-4.0,yes,no,
Adam Ant - Goody Two Shoes (Chris Huges Single Version).mp3,processed,29.99,29.00,-0.99,-11.4,-15.8,-4.4,0.60,-3.12,-3.73,-4.4,yes,no,
Adam Ant - Mohair Locker Room Pin-Up Boys.mp3,processed,30.01,29.00,-1.01,-13.6,-15.8,-2.2,0.39,-1.72,-2.11,-2.2,yes,no,
Adam Ant - Something Girls.mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,0.80,-2.68,-3.48,-3.5,yes,no,
Adam Richman - From The Pain.mp3,processed,29.99,29.00,-0.99,-36.9,-21.5,15.5,-16.33,-0.62,15.71,15.5,yes,no,
Adolph Hofner - How I Miss You Tonight.mp3,processed,29.99,29.00,-0.99,-20.3,-17.5,2.8,-3.74,-1.02,2.71,2.8,yes,no,
Adolph Hofner - We Played a Game.mp3,processed,29.99,29.00,-0.99,-21.7,-20.4,1.3,-2.67,-1.08,1.59,1.3,yes,no,
Adr Lavey - In The Name of the Father.mp3,processed,29.99,29.00,-0.99,-13.8,-15.8,-2.0,0.50,-1.28,-1.78,-2.0,yes,no,
Adrenaline - Playing The Role Of God.mp3,processed,30.01,29.00,-1.01,-11.7,-15.8,-4.1,-0.48,-3.94,-3.46,-4.1,yes,no,
Adrienne Albert - The Owl and the Pussy-Cat.mp3,processed,29.99,29.00,-0.99,-22.5,-18.9,3.6,-4.48,-1.06,3.42,3.6,yes,no,
Aeoliah - For Your Passion My Love (solo Por Tu Passion Amor Mio).mp3,processed,29.99,29.00,-0.99,-17.5,-15.8,1.7,-3.89,-2.15,1.75,1.7,yes,no,
Aeoliah - Inner Chamber.mp3,processed,29.99,29.00,-0.99,-31.9,-17.3,14.6,-15.23,-0.93,14.30,14.6,yes,no,
Aeoliah - Temple Bells.mp3,processed,29.99,29.00,-0.99,-23.7,-17.2,6.5,-7.44,-1.00,6.44,6.5,yes,no,
Aeoliah - We Are One Light.mp3,processed,29.99,29.00,-0.99,-24.0,-16.4,7.6,-8.78,-0.98,7.80,7.6,yes,no,
Aerosmith - Angel.mp3,processed,29.99,29.00,-0.99,-13.8,-15.8,-2.0,-0.04,-1.44,-1.39,-2.0,yes,no,
Aerosmith - Crazy.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,0.16,-3.70,-3.87,-4.0,yes,no,
Aerosmith - Cryin'.mp3,processed,29.99,29.00,-0.99,-12.0,-15.8,-3.8,-0.47,-3.30,-2.84,-3.8,yes,no,
Aerosmith - Janie's Got A Gun.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.8,-0.42,-2.17,-1.75,-1.8,yes,no,
Aerosmith - Livin' On The Edge.mp3,processed,29.99,29.00,-0.99,-15.4,-16.2,-0.8,-0.16,-0.70,-0.53,-0.8,yes,no,
Aerosmith - Lord Of The Thighs.mp3,processed,29.99,29.00,-0.99,-14.7,-15.8,-1.1,-0.28,-1.08,-0.79,-1.1,yes,no,
Aerosmith - Milk Cow Blues.mp3,processed,29.99,29.00,-0.99,-17.8,-16.2,1.6,-2.61,-0.81,1.80,1.6,yes,no,
Aerosmith - On The Road Again (Outtake - 1972).mp3,processed,29.99,29.00,-0.99,-19.8,-18.4,1.4,-1.99,-1.11,0.89,1.4,yes,no,
Aerosmith - Reefer Head Woman.mp3,processed,29.99,29.00,-0.99,-18.7,-18.0,0.7,-1.68,-0.41,1.27,0.7,yes,no,
Aerosmith - Same Old Song and Dance.mp3,processed,29.99,29.00,-0.99,-19.4,-19.1,0.4,-1.29,-1.26,0.03,0.4,yes,no,
Aerosmith - What It Takes.mp3,processed,29.99,29.00,-0.99,-14.6,-15.8,-1.2,-0.00,-1.26,-1.25,-1.2,yes,no,
Aesop Rock - Coma.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,0.48,-1.69,-2.17,-2.6,yes,no,
Aesop Rock - Flashflood.mp3,processed,29.99,29.00,-0.99,-12.3,-15.8,-3.5,0.78,-2.29,-3.07,-3.5,yes,no,
Aesop Rock - Limelighters _ Flunkadelic Interlude.mp3,processed,29.99,29.00,-0.99,-13.6,-15.8,-2.2,0.32,-1.58,-1.90,-2.2,yes,no,
Aesop Rock - N.Y. Electric _ Hunter Interlude.mp3,processed,29.99,29.00,-0.99,-16.3,-17.2,-0.9,0.02,-0.87,-0.89,-0.9,yes,no,
Aesop Rock - No City (Instrumental).mp3,processed,29.99,29.00,-0.99,-13.4,-15.8,-2.4,-0.10,-2.38,-2.28,-2.4,yes,no,
Aesop Rock - Train Buffer.mp3,processed,29.99,29.00,-0.99,-14.1,-15.8,-1.7,0.14,-0.96,-1.10,-1.7,yes,no,
African Rhythm Messengers - baby Wayo.mp3,processed,29.99,29.00,-0.99,-16.6,-16.7,-0.1,-0.87,-0.99,-0.12,-0.1,yes,no,
Africando - Lindas Africanas.mp3,processed,29.99,29.00,-0.99,-13.1,-15.8,-2.7,0.32,-2.48,-2.80,-2.7,yes,no,
Africando - Mopao.mp3,processed,29.99,29.00,-0.99,-15.7,-16.4,-0.7,-0.27,-0.85,-0.58,-0.7,yes,no,
