cluster_count,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,bic,min_cluster_size
36,0.2771947681903839,6361.046894718659,1.0669098820306817,2.1054670810699463,-58624.95809789101,68
35,0.2751511335372925,6398.1426281531085,1.0465755765493028,2.153406858444214,-58585.198507319816,69
48,0.27463579177856445,5789.378092946554,1.0922343756698047,1.7306206226348877,-58529.13784754378,69
52,0.2729973793029785,5641.892667698421,1.0809641086126311,1.6381946802139282,-58416.27614070264,67
44,0.2722627520561218,5982.313455931295,1.0624691159121533,1.8286290168762207,-58640.44427371128,69
50,0.2709965705871582,5723.022028946299,1.0879105713759725,1.6801817417144775,-58489.21647509965,68
54,0.2704291343688965,5570.585397858757,1.0992215547836959,1.5971999168395996,-58343.61141812561,68
37,0.2698540687561035,6293.610097181356,1.0782766708611071,2.0698533058166504,-58622.550929686055,69
46,0.2698208689689636,5873.62566987563,1.0705179599356824,1.7806346416473389,-58577.47335430188,68
49,0.2696858048439026,5762.52269044189,1.0698243521164372,1.7030116319656372,-58519.17175504913,69
47,0.26944392919540405,5829.8215179605695,1.0708441290683612,1.755488395690918,-58553.1344130194,66
51,0.26561444997787476,5651.281731207469,1.1094126709822756,1.6675978899002075,-58413.04141729591,67
57,0.2646927535533905,5451.6952977872525,1.0930115181274094,1.545301914215088,-58196.10281576948,66
55,0.26433759927749634,5540.369191175091,1.0815653819118565,1.576505422592163,-58310.1396133626,68
56,0.26299962401390076,5506.905071678292,1.08233358924813,1.557517409324646,-58269.52502779113,67
53,0.261374831199646,5608.746712680322,1.0863160337364501,1.6165404319763184,-58384.85379570999,68
58,0.26022836565971375,5417.453092745156,1.1140807409606128,1.528017520904541,-58148.76734310693,53
59,0.258585125207901,5396.779248648313,1.114000478120823,1.5077260732650757,-58117.82472474101,55
60,0.25619733333587646,5374.973582541988,1.0974900796981129,1.4884566068649292,-58082.97255579722,39
