covariance_type,weight_concentration_prior,max_components,effective_components,active_components,lower_bound,silhouette_score,soft_silhouette_score,mean_membership_confidence,reg_covar
diag,0.01,30,30,30,216788.026183891,0.3007611632347107,0.3077799286311514,0.9769170155125478,0.00047396746277809145
diag,500.0,30,30,30,214866.37268448665,0.3007611632347107,0.3077795469852308,0.9769161607362375,0.00047396746277809145
tied,500.0,40,40,40,291962.0486667264,0.2818923890590668,0.2965259335495839,0.9306984926333539,0.00047396746277809145
tied,100.0,40,40,40,293338.503047349,0.2818923890590668,0.2965145373542733,0.9307236868146346,0.00047396746277809145
tied,1.0,40,40,40,293873.49757129216,0.2818923890590668,0.2965094281336631,0.9307329353985407,0.00047396746277809145
tied,0.01,40,40,40,293887.03439865605,0.2818923890590668,0.29650936672252387,0.9307330368604965,0.00047396746277809145
diag,0.01,50,50,50,230478.1782007262,0.2537451684474945,0.26191992578325624,0.9716944859714919,0.00047396746277809145
diag,1.0,50,50,50,230464.60266108304,0.2537451684474945,0.26191991608653203,0.9716943409025347,0.00047396746277809145
diag,100.0,50,50,50,229928.0346904419,0.2537451684474945,0.2619188603486021,0.9716914231760844,0.00047396746277809145
diag,500.0,50,50,50,228549.72983892565,0.2537451684474945,0.26191719121248713,0.9716899422284472,0.00047396746277809145
tied,500.0,50,50,50,297641.77853935934,0.24268588423728943,0.2599681724483061,0.9263813876221767,0.00047396746277809145
tied,100.0,50,50,50,299019.70151674474,0.24268588423728943,0.259965877936995,0.9263861002431709,0.00047396746277809145
tied,1.0,50,50,50,299555.35957658204,0.24270431697368622,0.25993099789283575,0.9263866579054825,0.00047396746277809145
tied,0.01,50,50,50,299568.905502303,0.24270431697368622,0.2599309872116963,0.9263866569241715,0.00047396746277809145
full,100.0,50,49,43,313792.8478819009,0.24230816960334778,0.2590599331603904,0.9251573433092558,0.00047396746277809145
full,500.0,50,49,43,312415.543308626,0.24230816960334778,0.25905815759540946,0.9251464637611281,0.00047396746277809145
diag,500.0,60,60,60,232835.46146559704,0.24813959002494812,0.2575620696585062,0.9674673897799198,0.00047396746277809145
diag,100.0,60,60,60,234215.221420489,0.24808456003665924,0.2574767957821163,0.9674747764029485,0.00047396746277809145
diag,1.0,60,60,60,234751.33499082443,0.24789170920848846,0.25734849907169416,0.9674800511217576,0.00047396746277809145
diag,0.01,60,60,60,234764.8848666284,0.24789170920848846,0.2573483828158063,0.96748013481696,0.00047396746277809145
full,0.01,50,49,44,314303.23783992283,0.2396840751171112,0.2563457140020031,0.9254789960187232,0.00047396746277809145
full,1.0,50,49,44,314286.6469713682,0.23589181900024414,0.25256557322370254,0.9254727984307624,0.00047396746277809145
full,1.0,60,58,49,319795.4787090719,0.21864324808120728,0.23812630900200382,0.9239651793254363,0.00047396746277809145
full,500.0,60,58,49,317878.1578714016,0.2184290885925293,0.23798452294686417,0.9240016879333491,0.00047396746277809145
full,100.0,60,58,49,319258.96159877436,0.21819989383220673,0.23779111573959472,0.9239743407205137,0.00047396746277809145
full,0.01,60,58,49,319808.9355100122,0.21819989383220673,0.2377488437432719,0.9239585765309937,0.00047396746277809145
tied,500.0,60,60,60,302748.2391461179,0.21491113305091858,0.2324556232599272,0.9181499815382839,0.00047396746277809145
tied,100.0,60,60,60,304129.3554405413,0.21491113305091858,0.23244066896933327,0.9181982376037987,0.00047396746277809145
tied,1.0,60,60,60,304666.7975618568,0.21491113305091858,0.2323961133828069,0.9182240008976924,0.00047396746277809145
tied,0.01,60,60,60,304680.3790129402,0.21491113305091858,0.23239473683389927,0.9182250553444506,0.00047396746277809145
